topology,workload,meander_density,n_edges,max_degree,total_route_length_mm,longest_route_mm,crossings,drc_violations,drc_notes,crosstalk_proxy,workload_mismatch,min_est_qw_freq_ghz,avg_est_qw_freq_ghz,input_pitch_mm,norm_total_route_length_mm,norm_longest_route_mm,norm_crossings,norm_drc_violations,norm_crosstalk_proxy,norm_workload_mismatch,cost
star,GHZ,1,4,4,12.760000000000002,3.190000000000001,0,0,PASS,1.2,0.0,9.591673861478013,9.591673861478014,2.9,0.5307936507936509,0.7133105802047781,0.0,0.0,0.7499999999999999,0.0,0.3256553171894469
star,GHZ,3,4,4,11.959999999999999,2.9899999999999998,0,0,PASS,1.6,0.0,10.23325739736283,10.23325739736283,2.3,0.48,0.6450511945392489,0.0,0.0,1.0,0.0,0.3427576791808873
ring,GHZ,3,5,2,16.25,3.250000000000001,0,0,PASS,0.75,0.5,9.414596805573801,9.414596805573803,2.5,0.7523809523809525,0.7337883959044369,0.0,0.0,0.46875,0.3333333333333333,0.3475236165285227
star,GHZ,1,4,4,13.64,3.4100000000000006,0,0,PASS,1.2,0.0,8.97285619299556,8.972856192995561,3.1,0.5866666666666668,0.7883959044368599,0.0,0.0,0.7499999999999999,0.0,0.34809271899886235
star,GHZ,2,4,4,12.96,3.24,0,0,PASS,1.4,0.0,9.443654203121872,9.443654203121872,2.7,0.5434920634920636,0.7303754266211602,0.0,0.0,0.8749999999999999,0.0,0.3495047266915867
ring,GHZ,2,5,2,17.4,3.48,0,0,PASS,0.5,0.5,8.792367706354847,8.792367706354849,2.9,0.8253968253968254,0.8122866894197949,0.0,0.0,0.3125,0.3333333333333333,0.350464035159001
linear,GHZ,3,4,2,14.040000000000001,3.5100000000000002,0,0,PASS,0.6000000000000001,1.5,8.717219264420189,8.717219264420189,2.7,0.6120634920634922,0.8225255972696244,0.0,0.0,0.37500000000000006,1.0,0.3520415380031421
star,GHZ,3,4,4,13.0,3.250000000000001,0,0,PASS,1.6,0.0,9.414596805573801,9.414596805573805,2.5,0.5460317460317461,0.7337883959044369,0.0,0.0,1.0,0.0,0.3692746085920148
star,GHZ,2,4,4,13.92,3.4800000000000004,0,0,PASS,1.4,0.0,8.792367706354845,8.792367706354847,2.9,0.6044444444444445,0.8122866894197951,0.0,0.0,0.8749999999999999,0.0,0.37398189230185813
ring,GHZ,3,5,2,17.55,3.510000000000001,0,0,PASS,0.75,0.5,8.717219264420187,8.717219264420189,2.7,0.8349206349206351,0.8225255972696246,0.0,0.0,0.46875,0.3333333333333333,0.3773421332412374
ring,GHZ,2,5,2,18.599999999999998,3.7200000000000006,0,0,PASS,0.5,0.5,8.225118176912597,8.225118176912598,3.1,0.9015873015873015,0.8941979522184299,0.0,0.0,0.3125,0.3333333333333333,0.3779888198168915
star,GHZ,3,4,4,14.040000000000001,3.5100000000000002,0,0,PASS,1.6,0.0,8.717219264420189,8.717219264420189,2.7,0.6120634920634922,0.8225255972696244,0.0,0.0,1.0,0.0,0.3957915380031421
